2410848, 20.98, 23.85, 749.74, 32.00
2421278, 20.87, 23.85, 749.75, 32.10
2431707, 20.98, 23.88, 749.87, 32.10
2442137, 20.87, 23.85, 749.83, 31.90
2452570, 20.98, 23.80, 749.78, 32.10
2463000, 20.86, 23.85, 749.80, 31.70
2473431, 20.86, 23.86, 749.81, 31.70
2483859, 20.87, 23.82, 749.82, 31.80
2494289, 20.97, 23.78, 749.79, 31.70
2504720, 20.86, 23.81, 749.75, 31.70
2515148, 20.87, 23.83, 749.78, 31.80
2525579, 20.86, 23.78, 749.79, 31.70
2536009, 20.86, 23.81, 749.82, 31.70
2546440, 20.86, 23.76, 749.78, 31.60
2556868, 20.86, 23.79, 749.80, 31.60
2567299, 20.86, 23.84, 749.78, 31.50
2577731, 20.86, 23.84, 749.75, 31.50
2588162, 20.86, 23.86, 749.76, 31.50
2598590, -3.94, 23.88, 749.79, 0.00
2609020, 20.86, 23.88, 749.81, 31.60
2619449, 20.86, 23.88, 749.85, 31.60
2629879, 20.86, 23.83, 749.77, 31.50
2640310, 20.97, 23.85, 749.81, 31.50
2650740, 20.87, 23.80, 749.76, 31.80
2661171, 20.86, 23.80, 749.75, 31.60
2671599, 20.97, 23.81, 749.79, 31.40
2682032, 20.97, 23.85, 749.79, 31.60
2692462, 20.87, 23.87, 749.76, 31.80
2702891, 20.86, 23.87, 749.76, 31.70
2713321, 20.86, 23.83, 749.80, 31.60
2723753, 20.97, 23.80, 749.83, 31.70
2734184, 20.86, 23.83, 749.86, 31.70
2744614, 20.86, 23.85, 749.82, 31.50
2755043, 20.97, 23.85, 749.82, 31.60
2765473, 20.86, 23.89, 749.78, 31.70
2775904, 20.87, 23.91, 749.81, 31.90
2786334, 20.98, 23.92, 749.85, 31.90
2796765, 20.97, 23.88, 749.86, 31.70
2807193, 20.97, 23.87, 749.86, 31.70
2817626, 20.86, 23.86, 749.79, 31.60
2828056, 20.86, 23.91, 749.85, 31.50
2838487, 20.87, 23.94, 749.86, 32.00
2848915, 20.87, 23.86, 749.81, 31.80
2859345, 20.98, 23.87, 749.89, 31.80
2869776, 20.86, 23.80, 749.86, 31.60
2880206, 20.86, 23.80, 749.84, 31.60
2890637, 20.86, 23.86, 749.81, 31.60
2901065, 20.97, 23.82, 749.85, 31.70
2911496, 20.87, 23.89, 749.89, 31.80
2921926, 20.98, 23.94, 749.92, 31.80
2932357, 20.87, 23.95, 749.87, 32.00
2942787, 20.87, 23.92, 749.86, 32.00
2953216, 20.97, 23.90, 749.77, 31.70
2963648, 20.98, 23.89, 749.85, 31.80
2974078, 20.97, 23.93, 749.87, 31.60
2984509, 20.98, 23.92, 749.86, 31.80
2994939, 20.86, 23.93, 749.84, 31.40
3005368, 20.97, 23.95, 749.82, 31.60
3015800, 20.98, 23.92, 749.89, 31.90
3026229, -3.94, 23.95, 749.91, 0.00
3036659, 20.87, 23.97, 749.84, 31.90
3047090, 20.87, 23.95, 749.85, 31.80
3057518, 20.87, 23.97, 749.86, 31.80
3067951, 20.97, 23.97, 749.85, 31.60
3078381, 20.97, 23.93, 749.88, 31.70
3088812, 20.86, 23.95, 749.85, 31.50
3099240, 20.97, 23.90, 749.83, 31.70
3109670, 20.86, 23.91, 749.89, 31.70
3120101, 20.97, 23.91, 749.86, 31.60
3130531, 20.86, 23.92, 749.90, 31.50
3140962, 20.98, 23.94, 749.85, 31.80
3151390, 20.86, 23.92, 749.83, 31.70
3161821, 20.97, 23.87, 749.84, 31.70
3172251, 20.97, 23.89, 749.91, 31.50
3182682, 20.86, 23.88, 749.90, 31.50
3193110, 20.87, 23.87, 749.85, 31.80
3203540, 20.86, 23.86, 749.87, 31.50
3213973, 20.86, 23.88, 749.83, 31.50
3224403, 20.86, 23.91, 749.83, 31.40
3234834, 20.86, 23.95, 749.79, 31.50
3245262, 20.97, 23.94, 749.86, 31.60
3255693, 20.86, 23.97, 749.83, 31.70
3266123, 20.86, 23.92, 749.85, 31.60
3276554, 20.97, 23.92, 749.83, 31.40
3286984, 20.86, 23.89, 749.80, 31.70
3297413, 20.97, 23.88, 749.82, 31.60
3307845, 20.96, 23.86, 749.81, 31.30
3318276, 20.86, 23.86, 749.82, 31.40
3328706, 20.86, 23.91, 749.90, 31.60
3339134, 20.97, 23.90, 749.93, 31.60
3349565, 20.86, 23.91, 749.91, 31.70
3359995, 20.97, 23.93, 749.87, 31.70
3370426, 20.97, 23.93, 749.85, 31.60
3380854, 20.75, 23.99, 749.89, 31.60
3391287, 20.97, 24.00, 749.86, 31.70
3401717, 20.86, 24.00, 749.86, 31.50
3412148, 20.87, 24.00, 749.83, 31.90
3422578, 20.87, 24.00, 749.80, 31.80
